Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
N/A,2018-03-22T19:46:00Z,Warning,Male,Traffic Sign/Signal,5300 S Greenwood,African American,Disobeyed traffic control device,No
N/A,2018-03-22T20:57:00Z,Warning,Male,Lane Violation,5340 S Greenwood,Caucasian,Wrong way on one way road,No
N/A,2018-03-23T12:43:00Z,Warning,Male,moving violation,1715 E 55th St,Hispanic,Driving on sidewalk,No
N/A,2018-03-23T14:33:00Z,Warning,Female,Traffic Sign/Signal,5500 S Woodlawn,Hispanic,Failure to yield to pedestrian in crosswalk,No
N/A,2018-03-23T21:34:00Z,Warning,Male,speed,Cottage Grove and Payne Dr,African American,Speeding,No
N/A,2018-03-24T16:12:00Z,Warning,Male,Lane Violation,1369 E 59th,Caucasian,Wrong way on one way road,No
N/A,2018-03-25T09:49:00Z,Warning,Female,Traffic Sign/Signal,5500 S Dorcheseter,African American,Ran stop sign,No
N/A,2018-03-25T15:53:00Z,Warning,Female,Traffic Sign/Signal,6300 S Greenwood,African American,Failure to yield to pedestrian in crosswalk,No
N/A,2018-03-25T20:29:00Z,Warning,Female,Lane Violation,5300 S Berkeley,African American,Wrong way on one way road,No
N/A,2018-03-25T20:50:00Z,Warning,Female,Lane Violation,5124 S Blackstone,African American,Wrong way on one way road,No
N/A,2018-03-26T00:06:00Z,Warning,Male,Traffic Sign/Signal,5631 S Hyde Park Blvd,African American,Ran stop sign,No
N/A,2018-03-26T18:33:00Z,Warning,Male,Traffic Sign/Signal,5200 Harper,African American,Ran stop sign,No
N/A,2018-03-26T22:10:00Z,Warning,Male,Traffic Sign/Signal,1200 Midway Plaisance,Asian,Ran stop sign,No
N/A,2018-03-27T15:18:00Z,Warning,Male,Traffic Sign/Signal,1635 E 53rd,African American,Ran stop sign,No
N/A,2018-03-27T19:54:00Z,Warning,Male,Lane Violation,5508 Cornell,African American,Illegal turn,No
