Date,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
2018-09-02T09:39:00Z,arrested,Male,UCPD,6124 S. Woodlawn,African American,Subject Observed near rear of garage taking items and walking away,Yes
2018-09-02T13:32:00Z,released,Male,UCPD,5800 S. Maryland,African American,"Subject observed looking into vehicles,loitering on campus",No
2018-09-05T18:25:00Z,released,Male,citizen,5500 S.Cornell,African American,"Caller reported a theft (shoplifter). Subject located, caller requested to have product returned",Yes
2018-09-10T21:25:00Z,released,Male,UCPD,5300 S. Drexel,African American,"Vehicle driving at a slow rate of speed in a ""hot spot"" area where robberies have occurred. Subject stated he was looking for a parking spot.",No
2018-09-11T01:45:00Z,released,Male,UCPD,5701 S. Cottage Grove,African American,subject in the area where a high number of bicycle thefts have occurred.,No
2018-09-11T09:25:00Z,released,Male,UCPD,1025 E. 58th Street,African American,Subject was observed panhandling,No
2018-09-11T11:10:00Z,released,Male,UCPD,5201 S. Harper,African American,Subject was observed loitering on private property,No
2018-09-14T10:36:00Z,released,Male,UCPD,5811 S. Ellis,African American,A subject known not to be affiliated with the University was observed in the area of recent thefts/burglaries and was observed entering the building.,No
2018-09-14T21:00:00Z,released,Male,citizen,1330 E. 50th Street,African American,Citizen contacted UCPD and related that two subjects were tampering with DIVVY bikes,Yes
2018-09-14T21:00:00Z,released,Male,citizen,1330 E. 50th Street,African American,Citizen contacted UCPD and related that two subjects were tampering with DIVVY bikes,Yes
2018-09-17T00:27:00Z,released,Male,citizen,1101 E. 56th Street,African American,Subject inside University building stating he was looking for work.,No
2018-09-19T05:27:00Z,released,Male,UCPD,5837 S. Kimbark,African American,"Subject observed attempting to conceal himself from
view of police while near an unsecured vehicle",No
2018-09-19T05:27:00Z,released,Male,UCPD,5837 S. Kimbark,African American,"Subject observed attempting to conceal himself from
view of police while near an unsecured vehicle",No
2018-09-20T02:06:00Z,released,Male,UCPD,5600 S. Cottage Grove,African American,Subject was riding a DIVVY which was believed to be stolen . Bike returned to DIVVY rack.,Yes
2018-09-23T16:17:00Z,released,Male,citizen,1011 E. 61st Street,African American,Subject ringing doorbells and was on scene matching the description.,No
2018-09-23T19:38:00Z,released,Male,UCPD,6120 S. University,African American,Subject matched the physical & clothing description provided in reference to a report of shots fired.,No
2018-09-25T22:11:00Z,released,Male,citizen,5401 Ellis (rear),African American,Citizen contacted UCPD and related that two subjects were smoking cannabis in the rear of her building,Yes
2018-09-25T22:11:00Z,released,Female,citizen,5401 Ellis (rear),African American,Citizen contacted UCPD and related that two subjects were smoking cannabis in the rear of her building,Yes
2018-09-29T11:40:00Z,released,Male,UCPD,5201 S Harper,African American,Loitering on private property,No
2018-10-01T23:00:00Z,released,Male,UCPD,1109 E 52nd St,African American,Multiple occupants observed sitting for an extended period of time inside a parked vehicle w/no lights & within identified robbery mission area; activity indicative of casing for victims; burnt cannabis also detected.,No
2018-10-01T23:00:00Z,released,Male,UCPD,1109 E 52nd St,African American,Multiple occupants observed sitting for an extended period of time inside a parked vehicle w/no lights & within identified robbery mission area; activity indicative of casing for victims; burnt cannabis also detected.,No
2018-10-01T23:00:00Z,released,Male,UCPD,1109 E 52nd St,African American,Multiple occupants observed sitting for an extended period of time inside a parked vehicle w/no lights & within identified robbery mission area; activity indicative of casing for victims; burnt cannabis also detected.,No
2018-10-02T16:20:00Z,released,Female,citizen,5320 Drexel Avenue,African American,"Contact made with subject after she hit e-phone for police assistance. After speaking with subject, officers learned she suffered from mental illness and safely escorted her to her residence where she was released to family members.",No
2018-10-05T13:47:00Z,released,Male,citizen,5700 S Harper,African American,Call for Service: Suspicious subject carrying a rear ten speed tire. Complainant believed tire could be stolen. Subject advised tire belonged to him.,No
2018-10-06T01:31:00Z,released,Male,UCPD,5818 S Harper,African American,"Subject was observed looking into multiple parked vehicles while walking S/B from 57th Street & Harper, an area identified as a theft from vehicle hotspot.",No
2018-10-06T15:55:00Z,released,Male,citizen,915 E 60th,African American,"Responded to area for suspicious person(s) throwing rocks at the building. Upon police arrival, subject was observed throwing rocks. There was no damage or complaints to be signed",No
2018-10-06T15:55:00Z,released,Male,citizen,915 E 60th,African American,"Responded to area for suspicious person(s) throwing rocks at the building. Upon police arrival, subject was observed throwing rocks. There was no damage or complaints to be signed",No
2018-10-06T15:55:00Z,released,Male,citizen,915 E 60th,African American,"Responded to area for suspicious person(s) throwing rocks at the building. Upon police arrival, subject was observed throwing rocks. There was no damage or complaints to be signed",No
2018-10-06T15:55:00Z,released,Male,citizen,915 E 60th,African American,"Responded to area for suspicious person(s) throwing rocks at the building. Upon police arrival, subject was observed throwing rocks. There was no damage or complaints to be signed",No
2018-10-08T23:18:00Z,released,Male,citizen,5507 S Kenwood,African American,Citizen called to inform seeing a M/B who appeared to be casing the area of 54th and Ridgewood Ct.,No
2018-10-12T17:29:00Z,released,Male,UCPD,5242 S Drexel,African American,"Subject observed jumping over secure fence, at apartment complex, in robbery hot spot area",No
2018-10-12T17:29:00Z,released,Male,UCPD,5242 S Drexel,African American,"Subject observed jumping over secure fence, at apartment complex, in robbery hot spot area",No
2018-10-13T17:37:00Z,released,Male,UCPD,5317 Drexel,African American,Subject looking into multiple residents windows,No
2018-10-16T22:40:00Z,released,Female,citizen,1201 E 57th Street,African American,Subject was observed by AUSO panhandling inside of the Bartlett Commons,No
2018-10-20T13:38:00Z,referred,Male,citizen,5437 S. Dorchester,African American,"Subject identified by store manager as an
offender in prior retail theft",No
2018-10-20T13:38:00Z,referred,Male,citizen,5437 S. Dorchester,African American,"Subject identified by store manager as an
offender in prior retail theft",No
2018-10-20T23:30:00Z,released,Male,UCPD,1019 E. 51th Street,African American,Curfew Violator,No
2018-10-20T23:30:00Z,released,Male,UCPD,1019 E. 51th Street,African American,Curfew Violator,No
2018-11-02T19:12:00Z,released,Male,citizen,5205 S Harper,African American,Unaffiliated female subject stated a male juvenile matching the subject's description pointed what was believed to be a handgun in her direction.,No
2018-11-02T19:12:00Z,released,Male,citizen,1451 E 52nd St,African American,Associate of male subject who was believed to be in possession of a handgun,Yes
2018-11-04T22:24:00Z,released,Male,UCPD,1112 E 60th,Caucasian,Subject was observed lighting and smoking from an item in a manner consistent with marijuana use,No
2018-11-04T10:24:00Z,released,Male,UCPD,1112 E 60th,Caucasian,Companion of subject suspected to be smoking marijuana,No
2018-11-04T10:24:00Z,released,Male,UCPD,1112 E 60th,Caucasian,Companion of subject suspected to be smoking marijuana,No
2018-11-04T10:24:00Z,released,Male,UCPD,1112 E 60th,Caucasian,Companion of subject suspected to be smoking marijuana,No
2018-11-19T05:03:00Z,released,Female,citizen,5656 Maryland,African American,Public Safety stated that the subject matched a description of a theft offender from Au bon pain.,No
2018-11-18T13:26:00Z,released,Male,citizen,1467 East Park Place,African American,Subject identified by witness as attempting to steal a bike at 5700 S Blackstone,Yes
2018-11-24T19:10:00Z,released,Male,UCPD,843 Drexel Square,African American,Matched Description of a robbery offender.,Yes
2018-11-24T19:10:00Z,released,Male,UCPD,843 Drexel Square,African American,Matched Description of a robbery offender.,Yes
2018-12-02T10:50:00Z,released,Male,citizen,5541 S Everett Ave,African American,Responded to a call for service of a suspicious person sleeping on the table in an office at said location. Subject was identified by complainant on scene.,No
2018-12-08T13:41:00Z,released,Male,citizen,1346 E 53rd Street,African American,Identified as theft offender by victim,Yes
2018-12-08T13:41:00Z,released,Male,citizen,1346 E 53rd Street,African American,Identified as theft offender by victim,Yes
2018-12-10T11:30:00Z,released,Male,citizen,5730 S Drexel,African American,Subject was intoxicated and causing a disturbance in the lobby of CCD. Officers spoke to subject advising he could come back when sober and escorted him to bus stop.,No
2018-12-16T00:40:00Z,released,Male,citizen,5500 S Hyde Park Blvd,African American,PO waved down by subject who reported being involved in an altercation with a juvenile,No
2018-12-16T00:40:00Z,released,Male,citizen,5500 S Hyde Park Blvd,African American,Juvenile involved in altercation,No
2018-12-18T19:25:00Z,released,Male,UCPD,5400 Woodlawn,African American,Subject matched the description of a previous robbery offender,No
2018-12-18T19:25:00Z,released,Male,UCPD,5400 Woodlawn,African American,Subject matched the description of a previous robbery offender,No
2018-12-23T12:18:00Z,released,Male,UCPD,5835 S. Greenwood,African American,unafillated individual in unoccupied building during winter break,No
2018-12-23T19:39:00Z,released,Male,UCPD,5700 S. Harper,African American,Subject in the area where robberies have occurred.,No
2018-12-24T07:43:00Z,released,Male,UCPD,4740 S Greenwood Ave,African American,"Subject, without cause or justification, opened squad door while officer was inside",Yes
