Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
N/A,3/1/2018 10:54 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Woodlawn,Caucasian,Ran stop sign,No
N/A,3/2/2018 5:23 PM,Verbal Warning,Female,Traffic Sign/Signal,5600 S Everett,African American,Ran stop sign,No
N/A,3/2/2018 9:30 PM,Verbal Warning,Female,Equipment,6300 Cottage Grove,African American,Driving without headlights or tail lights,No
N/A,3/2/2018 9:32 PM,Verbal Warning,Male,Lane Violation,1124 E 54th,African American,Wrong way on one way road,No
N/A,3/2/2018 10:19 PM,Verbal Warning,Male,Traffic Sign/Signal,5000 S Woodlawn,Asian,Ran stop sign,No
N/A,3/3/2018 12:35 AM,Verbal Warning,Male,Traffic sign/signal,5700 Hyde Park,Hispanic,Ran stop sign,No
N/A,3/3/2018 1:22 AM,Verbal Warning,Male,Speed,1000 Midway Plaisance,African American,Speeding,No
N/A,3/3/2018 1:41 AM,Verbal Warning,Male,Lane Violation,5530 Lake Park,African American,Illegal turn,No
N/A,3/3/2018 4:52 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Lake Park,African American,Disobeyed traffic control device,No
N/A,3/3/2018 7:38 PM,Verbal Warning,Male,Traffic sign/signal,5300 S Ingleside,African American,Disobeyed traffic control device,No
N/A,3/3/2018 7:42 PM,Verbal Warning,Female,Traffic sign/signal,6300 S Kenwood,African American,Disobeyed traffic control device,No
N/A,3/4/2018 11:48 AM,Verbal Warning,Female,Lane Violation,5500 S Lake Park,African American,Right turn in front of CTA bus,No
Two citations issued,3/4/2018 2:38 PM,Citation issued,Female,Traffic Sign/Signal,1225 E 55th St,African American,Failure to yield to pedestrian in crosswalk,No
N/A,3/4/2018 4:55 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S University,Hispanic,Ran red light,No
N/A,3/4/2018 9:13 PM,Verbal Warning,Male,Lane Violation,1360 E 57th,Caucasian,Wrong way on one way road,No
N/A,3/4/2018 10:58 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 Greenwood,African American,Ran stop sign,No
N/A,3/7/2018 10:22 AM,Verbal Warning,Female,Traffic Sign/Signal,1326 E 53rd,African American,Disobeyed traffic control device,No
N/A,3/7/2018 2:07 PM,Verbal Warning,Female,Traffic sign/signal,6200 S Stony Island,African American,Ran red light,No
Two citations issued,3/7/2018 2:49 PM,Citation issued,Female,Lane Violation,5300 S Ellis,African American,Wrong way on one way road,No
Two citations issued,3/7/2018 4:10 PM,Citation issued,Male,Traffic Sign/Signal,1200 E 47th,African American,Ran stop sign,Yes
N/A,3/7/2018 7:58 PM,Verbal Warning,Female,Equipment,5100 Cornell,Caucasian,Driving without headlights,No
N/A,3/7/2018 10:46 PM,Verbal Warning,Female,Lane Violation,5600 Dorchester,African American,Wrong way on one way road,No
