,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
67,N/A,1/23/2019 4:48 PM,Verbal Warning,Male,Traffic Sign/Signal,1101 E 56th,Caucasian,Disobey stop sign,No
68,N/A,1/23/2019 6:31 PM,Verbal Warning,Female,Traffic Sign/Signal,5400 Lake Park,African American,Failed to stop at light,No
69,N/A,1/23/2019 7:08 PM,Verbal Warning,Male,Traffic Sign/Signal,5000 Cornell,Caucasian,Failed to stop at light,No
70,N/A,1/24/2019 8:57 AM,Verbal Warning,Female,Traffic Sign/Signal,1309 E 56th,African American,Failure to yield to pedestrian,No
71,N/A,1/24/2019 12:06 PM,Verbal Warning,Female,Traffic Sign/Signal,5400 S Lake Park,African American,Disobey red light,No
72,N/A,1/24/2019 10:22 PM,Verbal Warning,Female,Traffic Sign/Signal,5900 Ellis,African American,Failed to stop at light,No
73,N/A,1/25/2019 3:37PM,Verbal Warning,Male,Traffic sign/signal,5500 S. Woodalwn,African American,Failure to yield to pedestrian in crosswalk,
74,N/A,1/25/2019 10:22 PM,Verbal Warning,Male,Traffic sign/signal,5600 S. Everett,Caucasian,Disobeyed Stop Sign,
75,N/A,1/25/2019 10:41 PM,Verbal Warning,Male,Traffic sign/signal,5300 S. Shore Drive,African American,Red Light Violation,
76,N/A,1/26/2019 2:36 AM,Verbal Warning,Male,Traffic sign/signal,5129 S. Dorchester,Hispanic,Disobeyed Stop Sign,
77,N/A,1/27/2019 7:48 PM,Verbal Warning,Female,Traffic sign/signal,4841 S Woodlawn,African American,Disobeyed Stop Sign,
78,N/A,1/27/2019 11:05 PM,Verbal Warning,Male,Lane Violation,5311 S. Blackstone,Hispanic,Improper Turn,
79,N/A,1/28/2019 9:17 PM,Verbal Warning,Male,License plate/registration,5300 S. Ellis,African American,No plate displayed,No
80,N/A,1/28/2019 10:32 PM,Verbal Warning,Female,Traffic sign/signal,5300 S. Kimbark,African American,Disobeyed Stop Sign,No
81,N/A,1/29/2019 1:10 PM,Verbal Warning,Male,Traffic sign/signal,5600 S. Stony Island,African American,Disobeyed traffic control device,No
82,N/A,1/29/2019 6:01 PM,Verbal Warning,Male,Traffic sign/signal,5500 S. Ellis,Hispanic,Failure to yield to pedestrian in crosswalk,No
83,N/A,1/29/2019 6:45 PM,Verbal Warning,Male,Traffic sign/signal,5100 S. Kenwood,African American,Disobeyed Stop Sign,No
84,N/A,1/31/2019 8:25 PM,Verbal Warning,Male,Traffic sign/signal,6000 S. Cottage Grove,African American,Red Light Violation,No
85,N/A,2/1/2019 10:11 PM,Verbal Warning,Female,Traffic Sign/Signal,5100 S Lake Park,African American,Failed to stop at red light,No
86,N/A,2/2/2019 9:22 AM,Verbal Warning,Male,Traffic Sign/Signal,4800 S Kenwood,Caucasian,Disobeyed stop sign,No
87,N/A,2/2/2019 9:34 AM,Verbal Warning,Female,Speed,1130 E 59th,African American,Speeding  (LIDAR),No
88,Two Citations issued,2/2/2019 10:23 AM,Citation Issued,Male,Speed,Midway Plaisance/Woodlawn,African American,Speeding (LIDAR),No
89,N/A,2/2/2019 10:50 AM,Verbal Warning,Female,Traffic Sign/Signal,1515 E 57th,African American,Disobeyed stop sign,No
90,N/A,2/2/2019 8:26 PM,Verbal Warning,Male,Lane Violation,5500 S Cottage Grove,African American,Improper Passing,No
91,N/A,2/2/2019 8:49 PM,Verbal Warning,Female,Equipment,5200 S Dorchester,African American,Driving without headlights,No
