,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
204,N/A,6/4/2017 1:16 PM,Verbal Warning,Male,Traffic Sign/Signal,6400 S Dorchester,African American,Ran stop sign,No
205,N/A,6/4/2017 9:37 PM,Verbal Warning,Male,Moving Violation - Other,5300 S Kimbark,African American,Failure to yield to oncoming traffic,No
206,One citation issued,6/5/2017 1:26 PM,Citation Issued,Male,Traffic Sign/Signal,1301 E 53rd,African American,Ran red light,No
207,N/A,6/5/2017 3:40 PM,Verbal Warning,Female,Traffic Sign/Signal,1161 E Midway,African American,Ran red light,No
208,N/A,6/5/2017 7:10 PM,Verbal Warning,Female,Traffic Sign/Signal,5109 S Kenwood,African American,Ran stop sign,No
209,N/A,6/6/2017 11:16 AM,Verbal Warning,Male,Traffic Sign/Signal,5700 S. ELLIS,African American,Disobeyed Stop Sign,No
210,N/A,6/6/2017 3:15 PM,Verbal Warning,Male,Traffic Sign/Signal,5400 S. ELLIS,Caucasian,Disobeyed Stop Sign,No
211,N/A,6/6/2017 5:28 PM,Verbal Warning,Male,Lane Violation,5420 S. ELLIS,Caucasian,Wrong way on one way street,No
212,N/A,6/7/2017 7:49 PM,Verbal Warning,Male,Traffic Sign/Signal,6100 S Greenwood,African American,Ran stop sign,No
213,N/A,6/7/2017 9:03 PM,Verbal Warning,Female,Lane Violation,6400 S Cottage Grove,African American,Illegal U-Turn,No
214,One citation issued,6/8/2017 12:17 PM,Citation Issued,Male,Traffic Sign/Signal,5900 S Stony Island,African American,Failure to yield to pedestrian in crosswalk,No
215,N/A,6/8/2017 3:46 PM,Verbal Warning,Female,Traffic Sign/Signal,6300 S Greenwood,African American,Disobeyed traffic control device,No
216,N/A,6/8/2017 10:25 PM,Verbal Warning,Male,Traffic Sign/Signal,5000 S Cornell,Native Hawaiian/Other Pacific Islander,Ran red light,No
217,N/A,6/8/2017 11:08 PM,Verbal Warning,Male,Lane Violation,6300 S Cottage Grove,African American,Unsafe lane change,No
218,N/A,6/9/2017 9:35 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 Kenwood,African American,Ran red light,No
219,N/A,6/10/2017 12:38 PM,Verbal Warning,Female,Traffic Sign/Signal,1436 E Midway Plaisance,Hispanic,Ran stop sign,No
220,N/A,6/11/2017 9:26 AM,Verbal Warning,Female,Lane Violation,5900 Cottage Grove,African American,Illegal lane change,No
221,N/A,6/11/2017 8:31 PM,Verbal Warning,Male,Lane Violation,5600 S Stony Island,African American,Wrong way on one way street,No
222,N/A,6/12/2017 2:06 PM,Verbal Warning,Male,Traffic Sign/Signal,6031 S Ellis,Caucasian,Ran stop sign,No
223,N/A,6/12/2017 9:44 PM,Verbal Warning,Female,Traffic Sign/Signal,1318 E Hyde Park Blvd,Hispanic,Ran stop sign,No
224,N/A,6/14/2017 12:39 AM,Verbal Warning,Male,Lane Violation,1223 E 52nd,African American,Failure to signal,No
225,N/A,6/14/2017 9:06 AM,Verbal Warning,Male,Traffic Sign/Signal,5600 Greenwood,African American,Ran stop sign,No
226,One citation issued,6/14/2017 1:09 PM,Citation issued,Male,Traffic Sign/Signal,1451 E 53rd,Caucasian,Ran stop sign,No
227,N/A,6/15/2017 8:47 AM,Verbal Warning,Male,Traffic Sign/Signal,5100 Greenwood,African American,Ran stop sign,No
228,N/A,6/15/2017 9:34 AM,Verbal Warning,Male,Traffic Sign/Signal,5300 Blackstone,African American,Ran stop sign,No
229,N/A,6/15/2017 1:35 PM,Verbal Warning,Female,Moving Violation - Other,5528 Kimbark,Hispanic,Failure to yield to emergency vehicle,No
230,N/A,6/15/2017 4:25 PM,Verbal Warning,Male,Lane Violation,5040 Blackstone,African American,Illegal turn in front of CTA bus,No
231,N/A,6/16/2017 16:58,Verbal Warning,Male,Lane Violation,5500 S. Maryland,African American,Improper lane usage,No
232,N/A,6/16/2017 20:26,Verbal Warning,Female,Traffic Sign/Signal,1135 E. 47th Street,African American,Disobeyed traffic control device,No
233,N/A,6/17/2017 10:04 AM,Verbal Warning,Female,Speed,1300 E. MIDWAY PLAISANCE,African American,Speeding,No
234,N/A,6/17/2017 10:35 AM,Verbal Warning,Male,Speed,1300 E. MIDWAY PLAISANCE,African American,Speeding,No
235,Two citations issued,6/17/2017 10:55 AM,Citation Issued,Male,Speed,6000 S. Woodlawn,African American,Speeding,No
236,N/A,6/17/2017 10:57 AM,Verbal Warning,Male,Speed,1200 E. MIDWAY PLAISANCE,African American,Speeding,No
237,Two citations issued,6/18/2017 1:24 AM,Citation Issued,Female,Traffic Sign/Signal,5300 S.  KIMBARK,African American,Disobeyed Stop Sign,No
238,Two citations issued,6/18/2017 3:11 PM,Citations Issued,Female,Traffic Sign/Signal,5800 S. Maryland,African American,Disobeyed traffic control device,No
239,N/A,6/18/2017 4:31 PM,Verbal Warning,Male,Traffic Sign/Signal,5900 S. Dorchester,African American,Disobeyed traffic control device,No
240,Two citations issued,6/18/2017 11:46 PM,Arrest,Female,Lane Violation,5400 S. LAKE PARK,African American,Improper lane usage,Yes
241,N/A,6/19/2017 12:20 PM,Verbal Warning,Male,Traffic Sign/Signal,5316 Woodlawn,Caucasian,Failure to yield to pedestrian in crosswalk,No
242,Two citations issued,6/19/2017 1:26 PM,Citation issued,Female,Lane Violation,1050 E 59th,African American,Wrong way on a one way street,No
243,N/A,6/19/2017 4:48 PM,Verbal Warning,Female,Lane Violation,5800 Dorchester,African American,Wrong way on a one way street,No
244,N/A,6/20/2017 10:24 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 S. KENWOOD,African American,Failure to yield to pedestrian in crosswalk,No
245,One citation issued,6/20/2017 10:40AM,Citation Issued,Male,Lane Violation,6100 S. UNIVERSITY,African American,Wrong way on one way street,No
246,N/A,6/20/2017 12:35 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S. BLACKSTONE,African American,Disobeyed Stop Sign,No
247,N/A,6/20/2017 3:22 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S. UNIVERSITY,African American,Disobeyed Stop Sign,No
248,N/A,6/21/2017 11:35 AM,Verbal Warning,Female,Traffic Sign/Signal,5530 S Cornell,Caucasian,Failure to yield to pedestrian in crosswalk,No
249,N/A,6/21/2017 4:35 PM,Verbal Warning,Female,Lane Violation,5683 S Blackstone,Caucasian,Improper lane usage,No
250,N/A,6/21/2017 9:52 PM,Verbal Warning,Male,Traffic Sign/Signal,1126 E 47th,African American,Ran stop sign,No
251,N/A,6/23/2017 5:35 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Woodlawn,African American,Failure to yield to pedestrian in crosswalk,No
252,N/A,6/23/2017 11:50 PM,Verbal Warning,Male,Lane Violation,5500 S Cottage Grove,African American,Driving in wrong lane,No
253,N/A,6/24/2017 1:35 PM,Verbal Warning,Male,Traffic Sign/Signal,Midway Plaisance and Harper,Asian,Ran stop sign,No
254,N/A,6/24/2017 2:24 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 Blackstone,African American,Failure to yield to pedestrian in crosswalk,No
255,N/A,6/24/2017 5:48 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Blackstone,Asian,Ran stop sign,No
256,N/A,6/24/2017 9:00 PM,Verbal Warning,Male,Traffic Sign/Signal,5225 S Blackstone,African American,Disobeyed traffic control device,No
257,N/A,6/25/2017 8:38 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 University,African American,Ran stop sign,No
258,N/A,6/25/2017 12:54 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 Harper,Hispanic,Failure to yield to pedestrian in crosswalk,No
259,One citation issued,6/25/2017 1:15 PM,Citation issued,Male,Traffic Sign/Signal,5000 Dorchester,African American,Ran stop sign,No
260,N/A,6/27/2017 11:57 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Lake Park,Caucasian,Ran stop sign,No
261,N/A,6/28/2017 3:31 PM,Verbal Warning,Female,Traffic Sign/Signal,5400 S Shore Drive,Asian,Ran stop sign,No
262,N/A,6/28/2017 11:04 PM,Verbal Warning,Male,Traffic Sign/Signal,5700 S Drexel,African American,Ran stop sign,No
263,N/A,6/29/2017 8:15 AM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Shore,Caucasian,Ran stop sign,No
264,N/A,6/29/2017 10:20 AM,Verbal Warning,Male,Moving Violation - Other,5800 S Cottage Grove,African American,Failure to yield right of way,No
265,N/A,6/29/2017 9:46 PM,Verbal Warning,Female,Lane Violation,5500 S Woodlawn,Asian,Wrong way on one way road,No
266,N/A,6/29/2017 10:37 PM,Verbal Warning,Male,Traffic Sign/Signal,4900 S Greenwood,African American,Ran stop sign,No
267,N/A,7/1/2017 1:50 PM,Verbal Warning,Male,Lane Violation,5300 S Harper,African American,Wrong way on one way road,No
268,N/A,7/1/2017 9:38 PM,Verbal Warning,Female,Traffic Sign/Signal,5320 S University,Caucasian,Disobeyed traffic control device,No
269,N/A,7/2/2017 2:21 PM,Verbal Warning,Female,Traffic Sign/Signal,5100 S Blackstone,Asian,Ran red light,No
270,N/A,7/3/2017 8:36 AM,Verbal Warning,Female,Traffic Sign/Signal,5312 S Hyde Park,Asian,Ran stop sign,No
271,N/A,7/3/2017 9:21 AM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Blackstone,Asian,Ran stop sign,No
272,N/A,7/4/2017 11:25 PM,Verbal Warning,Female,Lane Violation,5900 S Blackstone,African American,Wrong way on one way road,No
273,N/A,7/4/2017 3:45 PM,Verbal Warning,Male,Traffic Sign/Signal,1420 E 53rd,African American,Ran stop sign,No
274,N/A,7/6/2017 6:36 PM,Verbal Warning,Male,Lane Violation,5100 S Greenwood,Caucasian,Wrong way on a one way street,No
275,N/A,7/6/2017 10:58 PM,Verbal Warning,Male,Lane Violation,6100 S Cottage Grove,African American,Failure to signal,No
276,N/A,7/7/2017 4:20 PM,Verbal Warning,Male,Lane Violation,5300 Dorchester,African American,Wrong way on a one way street,No
277,N/A,7/7/2017 6:02 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Lake Park,African American,Ran stop sign,No
278,N/A,7/8/2017 7:58 AM,Verbal Warning,Female,Traffic Sign/Signal,Midway Plaisance and Stony Island,Caucasian,Ran stop sign,No
279,N/A,7/8/2017 2:40 PM,Verbal Warning,Female,Lane Violation,6000 Ingleside,African American,Wrong way on a one way street,No
280,N/A,7/8/2017 5:41 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Ellis,African American,Ran stop sign,No
281,One citation issued,7/8/2017 10:02 PM,Citation Issued,Female,Traffic Sign/Signal,6018 S Stony Island,African American,Disobeyed traffic control device,No
282,N/A,7/10/2017 4:11 PM,Verbal Warning,Female,Traffic Sign/Signal,6400 S Cottage Grove,African American,Disobeyed traffic control device,No
283,"Three citations issued for improper turn, suspended DL, and no insurance",7/10/2017 4:53 PM,Citation Issued,Female,Lane Violation,5100 S Lake Park,African American,Improper turn,No
284,N/A,7/11/2017 9:03 AM,Verbal Warning,Male,Traffic Sign/Signal,6200 S Woodlawn,African American,Ran stop sign,No
285,N/A,7/11/2017 3:18 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Kimbark,African American,Failure to yield to pedestrian in crosswalk,No
286,Two citations issued,7/11/2017 6:30 PM,Citation issued,Male,Traffic Sign/Signal,Midway Plaisance and Cottage Grove,African American,Ran red light,No
287,N/A,7/12/2017 9:35 AM,Verbal Warning,Male,Traffic Sign/Signal,5300 Shore Dr,African American,Ran stop sign,No
288,N/A,7/12/2017 11:56 AM,Verbal Warning,Female,Traffic Sign/Signal,5300 Shore Dr,African American,Ran stop sign,No
289,N/A,7/12/2017 4:33 PM,Verbal Warning,Female,Traffic Sign/Signal,5900 Woodlawn,African American,Ran stop sign,No
290,N/A,7/13/2017 11:40 AM,Verbal Warning,Male,Traffic Sign/Signal,5322 S. SHORE DR.,African American,Disobeyed Stop Sign,No
291,N/A,7/14/2017 10:54 AM,Verbal Warning,Female,Lane Violation,6003 S Ellis,Caucasian,Wrong way on one way street,No
292,N/A,7/14/2017 4:03 PM,Verbal Warning,Male,Speed,5900 S Woodlawn,Caucasian,Speeding,No
293,N/A,7/14/2017 5:34 PM,Verbal Warning,Male,Lane Violation,5900 S Woodlawn,Asian,Improper lane usage,No
294,N/A,7/15/2017 9:45 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Kimbark,Asian,Ran stop sign,No
295,"Two citations issued for speeding and suspended DL, arrested on warrant",7/15/2017 3:08 PM,Citation issued,Male,Speed,5800 S Stony Island,African American,Speeding,Yes
296,N/A,7/16/2017 2:41 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Kimbark,African American,Ran stop sign,No
297,N/A,7/17/2017 10:35 AM,Verbal Warning,Male,Lane Violation,1400 E 53rd,Hispanic,Wrong way on one way street,No
298,N/A,7/17/2017 10:58 AM,Verbal Warning,Male,Traffic Sign/Signal,Midway and Ellis,African American,Ran stop sign,No
299,N/A,7/17/2017 2:43 PM,Verbal Warning,Male,Traffic Sign/Signal,6100 Woodlawn,Caucasian,Ran stop sign,No
300,N/A,7/18/2017 2:07 AM,Verbal Warning,Male,Lane Violation,6300 S Ingleside,African American,Wrong way on one way street,No
301,N/A,7/18/2017 10:27 AM,Verbal Warning,Male,Moving Violation - Other,5500 Blackstone,Caucasian,Using cell phone while driving,No
302,N/A,7/18/2017 12:30 PM,Verbal Warning,Female,Lane Violation,6000 Drexel,African American,Wrong way on one way street,No
303,N/A,7/18/2017 2:07 PM,Verbal Warning,Male,Traffic Sign/Signal,6100 Woodlawn,African American,Ran stop sign,No
304,N/A,7/18/2017 3:22 PM,Verbal Warning,Female,Traffic Sign/Signal,6100 Drexel,African American,Ran stop sign,No
305,N/A,7/19/2017 8:53 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Woodlawn,African American,Failure to yield to pedestrian in crosswalk,No
306,Two citations issued for failure to yield at crosswalk and no valid DL,7/19/2017 9:20 PM,Citation issued,Male,Traffic Sign/Signal,5500 S Ingleside,Hispanic,Failure to yield to pedestrian in crosswalk,No
307,N/A,7/20/2017 9:36 AM,Verbal Warning,Male,Traffic Sign/Signal,6200 S Woodlawn,African American,Ran stop sign,No
308,N/A,7/20/2017 9:26 PM,Verbal Warning,Male,Lane Violation,6209 S Dorchester,African American,Improper U-Turn,No
309,N/A,6/21/2017 7:39 AM,Verbal Warning,Male,Traffic Sign/Signal,6000 Ellis,Hispanic,Ran stop sign,No
310,N/A,6/21/2017 8:09 PM,Verbal Warning,Female,Traffic Sign/Signal,6000 Ingleside,Caucasian,Ran stop sign,No
311,Citation issued for no insurance,6/21/2017 10:36 AM,Citations Issued,Male,Traffic Sign/Signal,6100 Ellis,African American,Ran stop sign,No
312,N/A,6/21/2017 1:29 PM,Verbal Warning,Male,Traffic Sign/Signal,5100 Woodlawn,African American,Ran stop sign,No
313,N/A,7/24/2017 10:56 AM,Verbal Warning,Male,Traffic Sign/Signal,5323 S Woodlawn,Caucasian,Ran red light,No
314,N/A,7/24/2017 11:54 AM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Harper,African American,Ran stop sign,No
315,N/A,7/24/2017 3:06 PM,Verbal Warning,Male,Traffic Sign/Signal,5336 S Hyde Park,Caucasian,Ran stop sign,No
316,N/A,7/24/2017 3:12 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Harper,African American,Ran stop sign,No
317,One citation issued,7/24/2017 7:47 PM,Citation issued,Female,Traffic Sign/Signal,5647 S Lake Park,African American,Disobeyed traffic control device,No
318,One citation issued,7/24/2017 8:34 PM,Citation issued,Male,Traffic Sign/Signal,5700 S Harper,African American,Disobeyed traffic control device,No
319,N/A,7/25/2017 2:56 PM,Verbal Warning,Male,Traffic Sign/Signal,5600 S University,African American,Disobeyed traffic control device,No
320,N/A,7/26/2017 10:04 AM,Verbal Warning,Male,Traffic Sign/Signal,5400 S Shore,Caucasian,Ran stop sign,No
321,N/A,7/26/2017 5:07 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 Ellis,African American,Failure to yield to pedestrian in crosswalk,No
322,N/A,7/27/2017 6:00 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Hyde Park,African American,Ran stop sign,No
323,N/A,7/27/2017 7:09 PM,Verbal Warning,Male,Lane Violation,5600 Stony Island,African American,Improper overtaking,No
324,N/A,7/27/2017 7:54 PM,Verbal Warning,Male,Traffic Sign/Signal,5900 Dorchester,African American,Ran stop sign,No
325,N/A,7/28/2017 7:27 AM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Harper,African American,Ran stop sign,No
326,N/A,7/28/2017 12:18 PM,Verbal Warning,Male,Traffic Sign/Signal,920 E Midway,Caucasian,Ran red light,No
327,N/A,7/28/2017 2:44 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Blackstone,African American,Ran stop sign,No
328,N/A,7/28/2017 3:00 PM,Verbal Warning,Female,Speed,1400 E Midway Plaisance,Caucasian,Speeding,No
329,N/A,7/28/2017 3:25 PM,Verbal Warning,Female,Speed,1400 E Midway Plaisance,African American,Speeding,No
330,N/A,7/28/2017 9:23 PM,Verbal Warning,Female,Traffic Sign/Signal,1455 E 55th,African American,Ran red light,No
331,N/A,7/29/2017 9:25 AM,Verbal Warning,Male,Traffic Sign/Signal,6300 S Greenwood,African American,Ran red light,No
332,N/A,7/29/2017 12:02 PM,Verbal Warning,Male,Traffic Sign/Signal,6300 S University,African American,Disobeyed traffic control device,No
333,N/A,7/29/2017 2:59 PM,Verbal Warning,Male,Traffic Sign/Signal,1380 E 53rd,Hispanic,Failure to yield to pedestrian in crosswalk,No
334,N/A,7/29/2017 5:11 PM,Verbal Warning,Male,Lane Violation,5800 S Dorchester,African American,Improper lane usage,No
335,N/A,7/29/2017 9:48 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Drexel,African American,Ran red light,No
336,N/A,7/30/2017 9:22 AM,Verbal Warning,Male,Lane Violation,5407 S Greenwood,Asian,Wrong way on one way road,No
337,N/A,7/30/2017 4:53 PM,Verbal Warning,Female,Traffic Sign/Signal,1315 E 53rd,Caucasian,Disobeyed traffic control device,No
338,N/A,7/30/2017 11:22 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Woodlawn,Asian,Ran stop sign,No
339,N/A,7/31/2017 9:47 PM,Verbal Warning,Male,Traffic Sign/Signal,6100 S Dorchester,African American,Ran stop sign,No
340,Three citations issued,8/1/2017 5:14 PM,Citation issued,Female,Traffic Sign/Signal,1155 E. 60TH STREET,African American,Ran stop sign,No
341,N/A,8/2/2017 3:55 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Blackstone,Hispanic,Ran stop sign,No
342,N/A,8/2/2017 3:55 PM,Verbal Warning,Male,Traffic Sign/Signal,6141 S Ingleside,African American,Ran stop sign,No
343,N/A,8/2/2017 4:01 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Woodlawn,African American,Failure to yield to pedestrian in crosswalk,No
344,N/A,8/2/2017 7:22 PM,Verbal Warning,Female,Traffic Sign/Signal,4924 S Woodlawn,African American,Ran stop sign,No
345,N/A,8/3/2017 8:24 AM,Verbal Warning,Male,Traffic Sign/Signal,4700 S Ellis,African American,Ran stop sign,No
346,N/A,8/3/2017 9:28 PM,Verbal Warning,Male,Traffic Sign/Signal,4700 S Drexel,African American,Ran red light,No
347,N/A,8/5/2017 7:48 PM,Verbal Warning,Male,Traffic Sign/Signal,6100 S Woodlawn,African American,Ran red light,No
348,N/A,8/5/2017 5:08 PM,Verbal Warning,Male,Traffic Sign/Signal,6200 S Greenwood,African American,Ran stop sign,No
349,N/A,8/9/2017 9:27 AM,Verbal Warning,Female,Equipment,5300 Kimbark,African American,No brake lights,No
350,N/A,8/9/2017 2:53 PM,Verbal Warning,Female,Traffic Sign/Signal,5400 Berkeley,African American,Ran stop sign,No
351,N/A,8/9/2017 3:09 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 Kimbark,African American,Ran stop sign,No
352,N/A,8/9/2017 6:05 PM,Verbal Warning,Female,Traffic Sign/Signal,6300 S Ellis,African American,Ran red light,No
353,N/A,8/10/2017 11:23 AM,Verbal Warning,Female,Traffic Sign/Signal,5200 Woodlawn,African American,Ran stop sign,No
354,N/A,8/10/2017 12:11 PM,Verbal Warning,Male,Lane Violation,5500 Dorchester,Caucasian,Wrong way on a one way street,No
355,N/A,8/10/2017 2:43 PM,Verbal Warning,Female,Traffic Sign/Signal,5339 Kimbark,African American,Ran stop sign,No
356,N/A,8/11/2017 8:59 AM,Verbal Warning,Male,Traffic Sign/Signal,5400 S Cornell,African American,Ran stop sign,No
357,N/A,8/11/2017 9:20 AM,Verbal Warning,Female,Traffic Sign/Signal,6100 S Dorchester,African American,Ran red light,No
358,N/A,8/11/2017 10:11 AM,Verbal Warning,Female,Traffic Sign/Signal,1155 E 57th,African American,Ran stop sign,No
359,N/A,8/12/2017 8:46 AM,Verbal Warning,Female,Traffic Sign/Signal,5100 S Harper,African American,Ran stop sign,No
360,N/A,8/12/2017 12:23 PM,Verbal Warning,Male,Traffic Sign/Signal,6100 S Dorchester,African American,Ran red light,No
361,N/A,8/12/2017 3:31 PM,Verbal Warning,Female,Traffic Sign/Signal,5100 S Drexel,African American,Ran stop sign,No
362,N/A,8/12/2017 4:44 PM,Verbal Warning,Male,Traffic Sign/Signal,5000 S Woodlawn,African American,Ran red light,No
363,N/A,8/12/2017 5:58 PM,Verbal Warning,Female,Lane Violation,5500 S Kenwood,African American,Improper passing,No
364,Two citations issued,8/12/2017 10:44 PM,Citation issued,Female,Traffic Sign/Signal,6300 S Woodlawn,African American,Ran red light,No
365,N/A,8/13/2017 11:20 AM,Verbal Warning,Male,Traffic Sign/Signal,6100 S Ingleside,African American,Ran stop sign,No
366,N/A,8/13/2017 3:07 PM,Verbal Warning,Female,Lane Violation,5500 S Blackstone,African American,Wrong way on one way road,No
367,Two citations issued,8/13/2017 3:46 PM,Citation issued,Female,Traffic Sign/Signal,6000 S Dorchester,Caucasian,Disobeyed traffic control device,No
368,N/A,8/13/2017 6:31 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Harper,Caucasian,Ran stop sign,No
369,N/A,8/14/2017 7:43 AM,Verbal Warning,Male,Traffic Sign/Signal,Cottage Grove and Midway Plaisance,African American,Ran stop sign,No
370,N/A,8/14/2017 11:09 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 Kimbark,African American,Ran stop sign,No
371,N/A,8/14/2017 11:38 AM,Verbal Warning,Male,Traffic Sign/Signal,5100 University,African American,Ran stop sign,No
372,N/A,8/14/2017 11:56 PM,Verbal Warning,Male,Traffic Sign/Signal,5700 Kimbark,African American,Ran red light,No
373,N/A,8/14/2017 12:33 PM,Verbal Warning,Male,Traffic Sign/Signal,6100 Ellis,African American,Ran stop sign,No
374,N/A,8/14/2017 5:48 PM,Verbal Warning,Male,Lane Violation,5800 S Kimbark,Caucasian,Wrong way on one way road,No
375,N/A,8/16/2017 2:09 PM,Verbal Warning,Female,Lane Violation,5300 S Greenwood,African American,Wrong way on one way road,No
376,N/A,8/17/2017 8:52 AM,Verbal Warning,Female,Traffic Sign/Signal,950 E 57th,African American,Ran stop sign,No
377,Two citations issued,8/17/2017 9:19 AM,Citation Issued,Male,Traffic Sign/Signal,5300 S Kenwood,African American,Failure to yield to pedestrian in crosswalk,No
378,N/A,8/17/2017 4:11 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Kenwood,Caucasian,Failure to yield to pedestrian in crosswalk,No
379,N/A,8/18/2017 5:48 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Dorchester,Asian,Ran stop sign,No
380,N/A,8/20/2017 9:53 PM,Verbal Warning,Male,Lane Violation,5400 S Dorchester,African American,Failure to signal,Yes
381,N/A,8/21/2017 12:56 AM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Harper,Caucasian,Ran stop sign,No
382,,There were no traffic stops to report for 08-23-20,,,,,,,
383,N/A,8/24/2017 9:14 AM,Verbal Warning,Female,Lane Violation,6300 S. ELLIS,Hispanic,Wrong way on one way street,No
384,N/A,8/24/2017 10:28 PM,Verbal Warning,Male,Traffic Sign/Signal,5600 S. KENWOOD,Asian,Disobeyed Stop Sign,No
385,Two citations issued,8/25/2017 7:35 AM,Citation Issued,Male,Lane Violation,5811 S. ELLIS,African American,Improper lane usage,No
386,Two citations issued,8/25/2017 7:35 AM,Citation Issued,Male,Traffic Sign/Signal,5811 S. ELLIS,African American,Disobeyed traffic control device,No
387,N/A,8/26/2017 8:40 AM,Verbal Warning,Male,Traffic Sign/Signal,5000 S. DORCHESTER,Caucasian,Disobeyed Stop Sign,No
388,N/A,8/26/2017 3:46 PM,Verbal Warning,Male,Lane Violation,5800 S. KENWOOD,Caucasian,Improper lane usage,No
389,N/A,8/27/2017 8:50 AM,Verbal Warning,Male,Traffic Sign/Signal,5300 S. KIMBARK,Caucasian,Disobeyed traffic control device,No
390,N/A,8/27/2017 10:42 AM,Verbal Warning,Female,Traffic Sign/Signal,5500 S. HARPER,African American,Disobeyed traffic control device,No
391,N/A,8/27/2017 1:43 PM,Verbal Warning,Male,Traffic Sign/Signal,5800 S. WOODLAWN,African American,Disobeyed traffic control device,No
392,N/A,8/28/2017 10:53 AM,Verbal Warning,Female,Traffic Sign/Signal,5500 S. UNIVERSITY,African American,Failure to yield to pedestrian in crosswalk,No
393,N/A,8/28/2017 1:55 PM,Verbal Warning,Male,Lane Violation,6054 S. DREXEL,Caucasian,Wrong way on one way street,No
394,N/A,8/28/2017 6:43 PM,Verbal Warning,Female,Traffic Sign/Signal,6000 S. ELLIS,African American,Disobeyed Stop Sign,No
395,N/A,8/30/2017 10:09 AM,Verbal Warning,Female,Lane Violation,1102 E. 56th Street,Caucasian,Wrong way on one way street,No
396,Two citations issued,8/30/2017 3:51 PM,Citation Issued,Male,Traffic Sign/Signal,800 E. Midway Plaisance,African American,Disobeyed traffic control device,No
397,N/A,8/30/2017 8:45 PM,Verbal Warning,Male,Traffic Sign/Signal,1369 S. Hyde Park Blvd.,African American,Disobeyed traffic control device,No
398,Two citations issued,8/30/2017 9:39 PM,Citation Issued,Male,Traffic Sign/Signal,6100 S. Woodlawn,African American,Disobeyed traffic control device,No
399,N/A,8/31/2017 12:12 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S. Dorchester,Caucasian,Failure to yield to pedestrian in crosswalk,No
400,N/A,9/1/2017 2:06 PM,Verbal Warning,Female,Traffic Sign/Signal,5400 S. Ellis,African American,Disobeyed traffic control device,No
401,N/A,9/1/2017 8:20 PM,Verbal Warning,Male,Traffic Sign/Signal,5900 S. Blackstone,African American,Disobeyed traffic control device,No
402,N/A,9/2/2017 1:08 PM,Verbal Warning,Male,Traffic Sign/Signal,5400 S. Cottage Grove,African American,Failure to yield to pedestrian in crosswalk,No
403,N/A,9/3/2017 5:53 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S. Blackstone,African American,Ran stop sign,No
404,N/A,9/3/2017 7:37 PM,Verbal Warning,Male,Traffic Sign/Signal,Midway Plaisance & Woodlawn,African American,Disobeyed traffic control device,No
405,N/A,9/4/2017 12:00 PM,Verbal Warning,Male,Lane Violation,6338 S. Cottage Grove,African American,Improper U-Turn,No
406,N/A,9/6/2017 5:03 PM,Verbal Warning,Male,Lane Violation,6300 S. Ellis,African American,Improper U-Turn,No
407,Two citations issued,9/7/2017 8:35 AM,Citations Issued,Female,Traffic Sign/Signal,5100 Drexel,African American,Ran stop sign,No
408,N/A,9/7/2017 4:50 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 Greenwood,Asian,Failure to yield to pedestrian in crosswalk,No
409,N/A,9/7/2017 5:36 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Ellis,Caucasian,Failure to yield to pedestrian in crosswalk,No
