,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
138,N/A,10/30/2016 11:24 AM,Verbal Warning,Male,Lane Violation,5700 S Kenwood,Caucasian,Wrong way on one way street,No
139,One citation issued for disobeying traffic control device,10/30/2016 12:16 PM,Citation Issued,Male,Traffic Sign/Signal,5100 S Dorchester,African American,Ran stop sign,No
140,N/A,11/1/2016 9:00 PM,Verbal Warning,Male,Traffic Sign/Signal,52nd and Drexel,African American,Disobeyed traffic control device,No
141,N/A,11/2/2016 11:50 AM,Verbal Warning,Female,Equipment,5900 S Woodlawn,Caucasian,No license plate,No
142,N/A,11/2/2016 3:27 PM,Verbal Warning,Female,Traffic Sign/Signal,1216 E Hyde Park Blvd,Hispanic,Ran stop sign,No
143,N/A,11/3/2016 12:09 AM,Verbal Warning,Female,Lane Violation,5500 S Cottage Grove,African American,Improper passing of CTA bus,No
144,N/A,11/3/2016 4:21 PM,Verbal Warning,Male,Traffic Sign/Signal,1174 E 57th,African American,Disobeyed traffic control device,No
145,N/A,11/3/2016 4:43 PM,Verbal Warning,Male,Traffic Sign/Signal,5100 S Kenwood,Caucasian,Ran stop sign,No
146,N/A,11/4/2016 10:41 AM,Verbal Warning,Male,Moving Violation - Other,1407 E 60th,Caucasian,Failure to yield right of way,No
147,N/A,11/5/2016 5:47 PM,Verbal Warning,Female,Traffic Sign/Signal,6100 Dorchester,Caucasian,Ran stop sign,No
148,N/A,11/7/2016 8:34 AM,Verbal Warning,Female,Speed,1130 Midway Plaisance,Caucasian,Speeding,No
149,Two citations issued for disobeying lawful order from school crossing guard and no insurance,11/8/2016 8:17 AM,Citation Issued,Female,Traffic Sign/Signal,5700 S Stony Island,African American,Disobeyed lawful order from school crossing guard,No
150,N/A,11/9/2016 8:51 AM,Verbal Warning,Male,Moving Violation - Other,5700 S Stony Island,African American,Went around traffic stopped for school crossing guard,No
151,N/A,11/9/2016 4:29 PM,Verbal Warning,Female,Speed,930 E Midway Plaisance,African American,Speeding,No
152,N/A,11/10/2016 7:30 AM,Verbal Warning,Male,Moving Violation - Other,6400 S UNIVERSITY,African American,Failure to yield,No
153,N/A,11/11/2016 8:41 AM,Verbal Warning,Female,Speed,964 E 59th,Caucasian,Speeding,No
154,N/A,11/11/2016 8:57 AM,Verbal Warning,Female,Speed,860 E Midway Plaisance,African American,Speeding,No
155,N/A,11/11/2016 9:08 AM,Verbal Warning,Female,Speed,796 E Midway Plaisance,African American,Speeding,No
156,N/A,11/11/2016 9:23 AM,Verbal Warning,Male,Speed,796 E Midway Plaisance,African American,Speeding,No
157,Two citations issued for disobeying traffic control device and no valid driver's license,11/11/2016 1:36 PM,Citation issued,Male,Traffic Sign/Signal,1221 E 57th,African American,Ran red light,No
158,N/A,11/11/2016 3:46 PM,Verbal Warning,Male,Lane Violation,1130 E 59th,African American,Wrong way on one way street,No
159,N/A,11/11/2016 9:19 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Everett,African American,Failure to yield to pedestrian in crosswalk,No
160,N/A,11/12/2016 8:07 PM,Verbal Warning,Female,Lane Violation,5900 S Cottage Grove,African American,Improper passing,No
161,Arrested for DUI,11/12/2016 9:53 PM,Arrested,Male,Traffic Sign/Signal,5223 S Lake Park,African American,Ran stop sign,Yes
162,N/A,11/13/2016 12:31 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Kenwood,African American,Ran stop sign,No
163,Two citations issued for speeding and no insurance,11/16/2016 8:52 AM,Citation issued,Female,Speed,1116 E Midway Plaisance,African American,Speeding,No
164,N/A,11/16/2016 3:55 PM,Verbal Warning,Female,Traffic Sign/Signal,5137 S Kimbark,African American,Ran stop sign,No
165,N/A,11/16/2016 5:29 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Kenwood,African American,Failure to yield to pedestrian in crosswalk,No
166,N/A,11/17/2016 4:37 PM,Verbal Warning,Female,Lane Violation,6100 S Woodlawn,Caucasian,Illegal U-Turn,No
167,N/A,11/18/2016 11:01 AM,Verbal Warning,Female,Moving Violation - Other,5500 S Woodlawn,African American,Failure to yield,No
168,N/A,11/18/2016 9:45 PM,Verbal Warning,Male,Equipment,5513 Lake Park,African American,Driving without headlights with heavy pedestrian traffic,No
169,N/A,11/19/2016 6:51 PM,Verbal Warning,Female,Lane Violation,5418 Ingleside,Caucasian,Wrong way on one way street,No
170,One citations issued for running red light,11/20/2016 8:55 PM,Citation issued,Female,Traffic Sign/Signal,5520 Lake Park,African American,Ran red light,No
171,N/A,11/21/2016 8:35 AM,Verbal Warning,Female,Speed,5900 Cottage Grove,African American,Speeding,No
172,N/A,11/21/2016 4:08 PM,Verbal Warning,Female,Lane Violation,6300 S Woodlawn,African American,Wrong way on one way street,No
